epochNum	subjectID	blockNumSrc	blockNumExp	epochStartSample
1	01-05-0001	4	1	297001
6	01-05-0001	20	2	332001
11	01-05-0001	37	3	349001
16	01-05-0001	50	4	362001
21	01-05-0001	63	5	375001
26	01-05-0001	76	6	853001
31	01-05-0001	91	7	868001
36	01-05-0001	104	8	881001
41	01-05-0001	114	9	910001
46	01-05-0001	127	10	923001
51	01-05-0003	9	1	38001
56	01-05-0003	49	2	508301
61	01-05-0003	79	3	581801
66	01-05-0003	98	4	636101
71	01-05-0003	120	5	658101
76	01-05-0003	140	6	678101
81	01-05-0003	175	7	713101
86	01-05-0003	189	8	727101
91	01-05-0003	205	9	854001
96	01-05-0003	213	10	874001
101	01-05-0004	41	1	165901
106	01-05-0004	59	2	183901
111	01-05-0004	116	3	258001
116	01-05-0004	147	4	322001
121	01-05-0004	213	5	691001
126	01-05-0004	242	6	779001
131	01-05-0004	265	7	802001
136	01-05-0004	290	8	827001
141	01-05-0004	335	9	903001
146	01-05-0004	432	10	1450801
151	01-05-0005	34	1	204001
156	01-05-0005	56	2	226001
161	01-05-0005	86	3	299001
166	01-05-0005	103	4	373001
171	01-05-0005	169	5	828001
176	01-05-0005	200	6	904001
181	01-05-0005	272	7	1062001
186	01-05-0005	290	8	1114001
191	01-05-0005	350	9	1174001
196	01-05-0005	370	10	1337001
201	01-05-0006	29	1	699001
206	01-05-0006	50	2	720001
211	01-05-0006	57	3	744001
216	01-05-0006	67	4	795001
221	01-05-0006	93	5	1020001
226	01-05-0006	175	6	1211001
231	01-05-0006	181	7	1228801
236	01-05-0006	195	8	1455001
241	01-05-0006	218	9	1488860
246	01-05-0006	244	10	1514860
251	01-05-0007	70	1	702001
256	01-05-0007	100	2	770001
261	01-05-0007	123	3	793001
266	01-05-0007	174	4	891001
271	01-05-0007	200	5	1108001
276	01-05-0007	223	6	1148001
281	01-05-0007	271	7	1221001
286	01-05-0007	275	8	1246001
291	01-05-0007	313	9	1474001
296	01-05-0007	345	10	1506001
301	01-05-0008	11	1	140001
306	01-05-0008	14	2	418001
311	01-05-0008	20	3	457001
316	01-05-0008	35	4	559001
321	01-05-0008	59	5	602001
326	01-05-0008	71	6	824201
331	01-05-0008	92	7	1236001
336	01-05-0008	109	8	1253001
341	01-05-0008	141	9	1285001
346	01-05-0008	158	10	1302001
351	01-05-0009	23	1	285001
356	01-05-0009	31	2	508001
361	01-05-0009	42	3	610001
366	01-05-0009	57	4	652001
371	01-05-0009	64	5	686001
376	01-05-0009	101	6	988001
381	01-05-0009	102	7	1218001
386	01-05-0009	114	8	1230001
391	01-05-0009	132	9	1248001
396	01-05-0009	152	10	1268001
401	01-05-0010	16	1	93001
406	01-05-0010	30	2	107001
411	01-05-0010	44	3	121001
416	01-05-0010	61	4	264001
421	01-05-0010	93	5	586001
426	01-05-0010	130	6	737001
431	01-05-0010	172	7	798001
436	01-05-0010	191	8	817001
441	01-05-0010	216	9	1127001
446	01-05-0010	229	10	1140001
451	01-05-0011	1	1	14001
456	01-05-0011	16	2	29001
461	01-05-0011	28	3	274001
466	01-05-0011	45	4	505001
471	01-05-0011	59	5	519001
476	01-05-0011	76	6	536001
481	01-05-0011	129	7	636001
486	01-05-0011	158	8	780001
491	01-05-0011	165	9	814001
496	01-05-0011	166	10	956001
501	01-05-0012	46	1	128001
506	01-05-0012	64	2	146001
511	01-05-0012	87	3	169001
516	01-05-0012	103	4	185001
521	01-05-0012	142	5	300001
526	01-05-0012	218	6	480001
531	01-05-0012	289	7	643001
536	01-05-0012	311	8	943001
541	01-05-0012	462	9	1131001
546	01-05-0012	483	10	1183001
551	01-05-0013	5	1	74401
556	01-05-0013	21	2	101601
561	01-05-0013	32	3	356001
566	01-05-0013	45	4	369001
571	01-05-0013	57	5	516001
576	01-05-0013	71	6	530001
581	01-05-0013	85	7	544001
586	01-05-0013	100	8	559001
591	01-05-0013	123	9	603001
596	01-05-0013	127	10	979328
601	01-05-0014	8	1	66601
