epochNum	EEGVectBlockNum	PSGFilename	startSamples	durationSamples	startSec	durationSec	
1	1	01-01-0001	2105976	241	8226.47	0.94	
2	1	01-01-0001	2106483	220	8228.45	0.86	
3	1	01-01-0001	2107026	340	8230.57	1.33	
4	1	01-01-0001	2108211	269	8235.2	1.05	
5	1	01-01-0001	2109261	131	8239.3	0.51	
6	1	01-01-0001	2110830	253	8245.43	0.99	
7	1	01-01-0001	2111711	284	8248.87	1.11	
8	1	01-01-0001	2115599	154	8264.06	0.6	
9	2	01-01-0001	2174743	269	8495.09	1.05	
10	2	01-01-0001	2184538	138	8533.35	0.54	
11	2	01-01-0001	2186739	197	8541.95	0.77	
12	2	01-01-0001	2191828	223	8561.83	0.87	
13	2	01-01-0001	2192809	146	8565.66	0.57	
14	2	01-01-0001	2197123	238	8582.51	0.93	
15	2	01-01-0001	2199672	253	8592.47	0.99	
16	3	01-01-0001	3722865	236	14542.44	0.92	
17	3	01-01-0001	3723487	164	14544.87	0.64	
18	3	01-01-0001	3725658	146	14553.35	0.57	
19	3	01-01-0001	3729928	154	14570.03	0.6	
20	3	01-01-0001	3732500	310	14580.08	1.21	
21	3	01-01-0001	3733199	297	14582.81	1.16	
22	3	01-01-0001	3733535	228	14584.12	0.89	
23	3	01-01-0001	3734223	351	14586.81	1.37	
24	3	01-01-0001	3735483	305	14591.73	1.19	
25	3	01-01-0001	3739784	189	14608.53	0.74	
26	3	01-01-0001	3741545	369	14615.41	1.44	
27	3	01-01-0001	3742943	133	14620.87	0.52	
28	3	01-01-0001	3743537	241	14623.19	0.94	
29	3	01-01-0001	3744742	333	14627.9	1.3	
30	4	01-01-0001	4696049	248	18343.94	0.97	
31	4	01-01-0001	4705526	182	18380.96	0.71	
32	4	01-01-0001	4709499	177	18396.48	0.69	
33	4	01-01-0001	4711818	105	18405.54	0.41	
34	4	01-01-0001	4712330	202	18407.54	0.79	
35	4	01-01-0001	4714145	215	18414.63	0.84	
36	4	01-01-0001	4714409	118	18415.66	0.46	
37	4	01-01-0001	4715428	233	18419.64	0.91	
38	4	01-01-0001	4716396	131	18423.42	0.51	
39	5	01-01-0001	4964260	223	19391.64	0.87	
40	5	01-01-0001	4964557	471	19392.8	1.84	
41	5	01-01-0001	4965921	125	19398.13	0.49	
42	5	01-01-0001	4971576	95	19420.22	0.37	
43	5	01-01-0001	4972644	251	19424.39	0.98	
44	5	01-01-0001	4973990	279	19429.65	1.09	
45	5	01-01-0001	4975363	325	19435.01	1.27	
46	5	01-01-0001	4976394	197	19439.04	0.77	
47	5	01-01-0001	4976993	141	19441.38	0.55	
48	5	01-01-0001	4977843	195	19444.7	0.76	
49	5	01-01-0001	4978985	284	19449.16	1.11	
50	5	01-01-0001	4981253	182	19458.02	0.71	
51	5	01-01-0001	4982610	233	19463.32	0.91	
52	5	01-01-0001	4983805	269	19467.99	1.05	
53	5	01-01-0001	4989870	274	19491.68	1.07	
54	5	01-01-0001	4990807	161	19495.34	0.63	
55	5	01-01-0001	4991805	120	19499.24	0.47	
56	5	01-01-0001	4992704	138	19502.75	0.54	
57	6	01-01-0001	5099804	131	19921.11	0.51	
58	6	01-01-0001	5102825	164	19932.91	0.64	
59	6	01-01-0001	5104566	184	19939.71	0.72	
60	6	01-01-0001	5108045	195	19953.3	0.76	
61	6	01-01-0001	5115914	136	19984.04	0.53	
62	6	01-01-0001	5118392	195	19993.72	0.76	
63	6	01-01-0001	5119194	205	19996.85	0.8	
64	7	01-01-0001	6385490	243	24943.32	0.95	
65	7	01-01-0001	6386545	115	24947.44	0.45	
66	7	01-01-0001	6386747	141	24948.23	0.55	
67	7	01-01-0001	6388093	389	24953.49	1.52	
68	7	01-01-0001	6389481	445	24958.91	1.74	
69	7	01-01-0001	6390418	212	24962.57	0.83	
70	7	01-01-0001	6390651	212	24963.48	0.83	
71	7	01-01-0001	6394227	348	24977.45	1.36	
72	7	01-01-0001	6395896	131	24983.97	0.51	
73	7	01-01-0001	6396122	294	24984.85	1.15	
