startSec	durationSec	eventName	
5376.0195	115	segmentViewed	
6214.0273	115	segmentViewed	
12513.1094	115	segmentViewed	
5378.8995	0.64	spindle	
5404.1395	1.37	spindle	
5406.4895	0.33	spindle	
5431.0495	0.32	spindle	
5435.3295	0.86	spindle	
5439.5395	1.33	spindle	
5442.3695	0.41	spindle	
5445.4495	1.08	spindle	
5453.9495	0.94	spindle	
5458.2895	0.8	spindle	
5461.3495	0.87	spindle	
5473.1195	0.69	spindle	
5477.0295	0.65	spindle	
5486.5195	0.86	spindle	
6220.4173	0.86	spindle	
6226.2173	0.44	spindle	
6233.2873	1.77	spindle	
6236.6073	1	spindle	
6239.5873	1.04	spindle	
6245.7173	1.3	spindle	
6254.8073	1.78	spindle	
6259.7173	1.19	spindle	
6265.5573	1.72	spindle	
6269.0073	0.44	spindle	
6272.1473	0.43	spindle	
6276.2573	0.77	spindle	
6279.6873	0.55	spindle	
6283.3373	1.16	spindle	
6288.9973	2.03	spindle	
6298.4873	0.73	spindle	
6313.9273	0.71	spindle	
12514.5994	0.77	spindle	
12518.8294	0.85	spindle	
12523.8294	0.55	spindle	
12528.7594	1.2	spindle	
12533.0794	0.69	spindle	
12535.1894	0.94	spindle	
12537.3994	0.68	spindle	
12538.5294	1.56	spindle	
12546.0894	2.5	spindle	
12554.0794	1.17	spindle	
12560.0094	0.98	spindle	
12566.4694	0.69	spindle	
12570.5394	1.26	spindle	
12574.9494	1.37	spindle	
12581.6894	1.37	spindle	
12585.8894	1.65	spindle	
12587.7894	0.37	spindle	
12589.8594	1.73	spindle	
12594.9594	1.48	spindle	
12596.7894	0.52	spindle	
12603.0094	0.64	spindle	
12606.8494	1.25	spindle	
12612.6994	0.59	spindle	
12614.3494	0.85	spindle	
12619.8394	0.79	spindle	
12623.8094	1.35	spindle	
