epochNum	EEGVectBlockNum	PSGFilename	startSamples	durationSamples	startSec	durationSec	
1	1	01-05-0001	764040	136	2984.53	0.53	
2	1	01-05-0001	765819	202	2991.48	0.79	
3	1	01-05-0001	770232	320	3008.72	1.25	
4	1	01-05-0001	773128	143	3020.03	0.56	
5	1	01-05-0001	775217	151	3028.19	0.59	
6	1	01-05-0001	777556	164	3037.33	0.64	
7	1	01-05-0001	780746	353	3049.79	1.38	
8	1	01-05-0001	782612	187	3057.08	0.73	
9	1	01-05-0001	783437	312	3060.3	1.22	
10	1	01-05-0001	784333	294	3063.8	1.15	
11	1	01-05-0001	785866	330	3069.79	1.29	
12	2	01-05-0001	850540	136	3322.42	0.53	
13	2	01-05-0001	851443	584	3325.95	2.28	
14	2	01-05-0001	853133	568	3332.55	2.22	
15	2	01-05-0001	854438	189	3337.65	0.74	
16	2	01-05-0001	856077	166	3344.05	0.65	
17	2	01-05-0001	857454	274	3349.43	1.07	
18	2	01-05-0001	859407	241	3357.06	0.94	
19	2	01-05-0001	860910	192	3362.93	0.75	
20	2	01-05-0001	861829	128	3366.52	0.5	
21	2	01-05-0001	864556	133	3377.17	0.52	
22	2	01-05-0001	864714	102	3377.79	0.4	
23	2	01-05-0001	865380	328	3380.39	1.28	
24	2	01-05-0001	865848	266	3382.22	1.04	
25	2	01-05-0001	871281	189	3403.44	0.74	
26	2	01-05-0001	871977	225	3406.16	0.88	
27	2	01-05-0001	874660	317	3416.64	1.24	
28	3	01-05-0001	894236	384	3493.11	1.5	
29	3	01-05-0001	895124	335	3496.58	1.31	
30	3	01-05-0001	896684	218	3502.67	0.85	
31	3	01-05-0001	897385	279	3505.41	1.09	
32	3	01-05-0001	898445	108	3509.55	0.42	
33	3	01-05-0001	898877	161	3511.24	0.63	
34	3	01-05-0001	903053	289	3527.55	1.13	
35	3	01-05-0001	905838	348	3538.43	1.36	
36	3	01-05-0001	906450	161	3540.82	0.63	
37	3	01-05-0001	910953	220	3558.41	0.86	
38	3	01-05-0001	912253	148	3563.49	0.58	
39	3	01-05-0001	914476	241	3572.17	0.94	
40	3	01-05-0001	915773	210	3577.24	0.82	
41	3	01-05-0001	917852	356	3585.36	1.39	
42	3	01-05-0001	918372	274	3587.39	1.07	
43	3	01-05-0001	920210	387	3594.57	1.51	
44	4	01-05-0001	930179	148	3633.51	0.58	
45	4	01-05-0001	930473	136	3634.66	0.53	
46	4	01-05-0001	930629	179	3635.27	0.7	
47	4	01-05-0001	932918	133	3644.21	0.52	
48	4	01-05-0001	934303	207	3649.62	0.81	
49	4	01-05-0001	936008	154	3656.28	0.6	
50	4	01-05-0001	938345	154	3665.41	0.6	
51	4	01-05-0001	940198	241	3672.65	0.94	
52	4	01-05-0001	943478	379	3685.46	1.48	
53	4	01-05-0001	944522	131	3689.54	0.51	
54	4	01-05-0001	944932	82	3691.14	0.32	
55	4	01-05-0001	945823	279	3694.62	1.09	
56	4	01-05-0001	947891	90	3702.7	0.35	
57	4	01-05-0001	950848	205	3714.25	0.8	
58	4	01-05-0001	952289	174	3719.88	0.68	
59	4	01-05-0001	955817	215	3733.66	0.84	
60	5	01-05-0001	960458	230	3751.79	0.9	
61	5	01-05-0001	963556	271	3763.89	1.06	
62	5	01-05-0001	968087	207	3781.59	0.81	
63	5	01-05-0001	968660	348	3783.83	1.36	
64	5	01-05-0001	970568	284	3791.28	1.11	
65	5	01-05-0001	971822	261	3796.18	1.02	
66	5	01-05-0001	978527	202	3822.37	0.79	
