startSec	durationSec	eventName	
4264.3906	115	segmentViewed	
5240.418	115	segmentViewed	
10820.582	115	segmentViewed	
4267.6506	0.63	spindle	
4268.4606	1.76	spindle	
4274.3406	0.88	spindle	
4293.4306	0.84	spindle	
4306.2406	0.46	spindle	
4307.3506	0.82	spindle	
4317.1506	1.1	spindle	
4323.2806	1.51	spindle	
4324.9406	1.01	spindle	
4336.9006	0.83	spindle	
4366.8906	0.84	spindle	
4367.8106	1.15	spindle	
4374.5306	0.89	spindle	
5245.718	2.24	spindle	
5262.048	1.95	spindle	
5266.468	0.99	spindle	
5268.108	1.18	spindle	
5272.458	0.79	spindle	
5273.598	0.84	spindle	
5305.578	0.64	spindle	
5306.508	0.85	spindle	
5313.008	0.77	spindle	
5313.888	1.65	spindle	
5319.728	1.71	spindle	
5324.738	1.17	spindle	
5332.558	1.54	spindle	
5338.768	1.65	spindle	
5348.688	1.63	spindle	
10823.902	1.11	spindle	
10826.272	1.3	spindle	
10831.472	1.6	spindle	
10841.092	1.02	spindle	
10844.852	0.84	spindle	
10849.542	1.95	spindle	
10851.802	0.64	spindle	
10857.242	0.7	spindle	
10865.352	0.45	spindle	
10868.672	1.12	spindle	
10880.642	0.69	spindle	
10886.242	1.56	spindle	
10909.882	1.35	spindle	
10912.882	1.3	spindle	
10918.222	1.76	spindle	
10925.412	1.66	spindle	
10930.142	1.9	spindle	
