startSec	durationSec	eventName	
346.9727	115	segmentViewed	
496.9766	115	segmentViewed	
2947.0078	115	segmentViewed	
5257.0352	115	segmentViewed	
5397.0352	115	segmentViewed	
5567.0391	115	segmentViewed	
6567.0547	115	segmentViewed	
8007.0703	115	segmentViewed	
8347.0781	115	segmentViewed	
9767.0938	115	segmentViewed	
350.8327	1.6	spindle	
355.2927	1.05	spindle	
416.0027	0.96	spindle	
429.7127	1.08	spindle	
434.4027	1.05	spindle	
441.1027	0.69	spindle	
447.4227	0.84	spindle	
507.3966	0.73	spindle	
513.7566	0.63	spindle	
553.9366	0.88	spindle	
560.8066	1.03	spindle	
563.5966	0.91	spindle	
565.5366	0.37	spindle	
569.6366	0.64	spindle	
578.3866	0.92	spindle	
579.4766	0.38	spindle	
581.6466	1.08	spindle	
596.4566	0.54	spindle	
2951.9578	0.89	spindle	
2956.3778	0.62	spindle	
5268.8952	1.33	spindle	
5295.4952	0.77	spindle	
5306.2452	0.79	spindle	
5314.3152	0.98	spindle	
5317.6652	0.74	spindle	
5353.6352	0.52	spindle	
5433.0952	1.3	spindle	
5438.4552	0.72	spindle	
5441.5652	1.03	spindle	
5445.5652	1.22	spindle	
5448.6352	0.55	spindle	
5449.4652	0.4	spindle	
5452.6352	1.2	spindle	
5456.0452	0.89	spindle	
5499.9052	0.69	spindle	
5598.7291	1.12	spindle	
5601.3091	1.57	spindle	
5606.2191	0.6	spindle	
5610.4491	1.19	spindle	
5632.9691	0.53	spindle	
5669.6391	1.06	spindle	
6570.2847	0.71	spindle	
6572.0947	0.96	spindle	
6633.4047	1.26	spindle	
8065.1103	0.99	spindle	
8449.6981	0.74	spindle	
9790.1038	0.35	spindle	
9853.6838	0.49	spindle	
